image,description,features
women_fashion/salwar-kameez-in-a-vibrant-red-color-with-detailed-embroidery.jpg, ethnic salwar kameez vibrant red detailed embroidery,ethnic salwar kameez vibrant red
women_fashion/strapless-red-midi-dress-with-a-mermaid-silhouette.jpg,elegant strapless red midi dress mermaid silhouette,elegant strapless red midi mermaid silhouette
women_fashion/off-the-shoulder-black-ball-gown.jpg,elegant off the shoulder black ball gown ,elegant off the shoulder black
women_fashion/red-dress-with-a-pattern-of-small-white-flowers.jpg,summer floral red dress pattern small white flowers,summer floral red white pattern small
women_fashion/black-dress-with-sparkling-details.jpg,party  black dress sparkling ,party black sparkling
women_fashion/ladies-party-wear-cotton-short-dress-full.jpg,pattern short dress summer,pattern short summer
women_fashion/dress-with-a-classic-black-and-white-houndstooth-pattern.jpg,business dress classic black white houndstooth pattern,business classic black white houndstooth pattern
women_fashion/bright-red-form-fitting-strapless-dress-with-a-high-slit-on-one-side-revealing-part-of-the-leg.jpg,elegant  bright red formfitting strapless dress high slit one side revealing part leg,elegant bright red formfitting strapless  high slit one side revealing
women_fashion/dark-elegant-sleeveless-dress-that-reaches-down-to-about-mid-calf.jpg,black dark elegant sleeveless dress reaches midcalf,black dark elegant sleeveless midcalf
women_fashion/black-top-white-trousers.jpg, casual modern black top white trousers,casual modern black white
women_fashion/blue-dress-with-a-floral-pattern.jpg,summer blue dress floral pattern,summer blue floral
women_fashion/sophisticated-black-dress-with-an-asymmetrical-design-with-one-sleeve-and-a-strapless-neckline-on-the-opposite-side.jpg,sophisticated black dress asymmetrical design one sleeve strapless formal,sophisticated black asymmetrical design one sleeve strapless formal
women_fashion/dark-blue-knee-length-dress-with-thin-straps.jpg,party dark blue kneelength dress thin straps,party dark blue kneelength thin straps
women_fashion/light-brown-sleeveless-double-breasted-blazer-paired-with-matching-straight-leg-trousers.jpg,formal business  light brown sleeveless doublebreasted blazer paired matching straightleg trousers,formal business light brown sleeveless doublebreasted straightleg paired matching
women_fashion/sleeveless-dress-with-a-high-neckline.jpg,intricate sleeveless dress high neckline,intricate sleeveless high neckline
women_fashion/sparkling-blue-dress.jpg,party sparkling blue dress,party sparkling blue
women_fashion/burnt-orange-long-sleeve-top-a-plaid-skirt-with-brown-tones-and-a-matching-burnt-orange-beret.jpg,dark academia burnt orange longsleeve top plaid skirt brown orange beret,dark academia burnt orange longsleeve plaid brown orange
women_fashion/floral-dress-with-long-sleeves.jpg,summer floral dress long sleeves,summer floral dress
women_fashion/sleeveless-dress-adorned-with-pink-sequins.jpg,shiny party sparkly sleeveless dress pink sequins,shiny party sparkly sleeveless dress
women_fashion/yellow-intricately-designed-Anarkali-suit.jpg, yellow intricately designed anarkali suit,yellow intricately designed
women_fashion/fitted-off-the-shoulder-white-dress-with-horizontal-ribbed-texture.jpg, fitted elegant white off shoulder dress,fitted elegant white off
women_fashion/sparkling-sequined-dress.jpg,party disco sparkling sequined dress,party disco sparkling
women_fashion/anarkali-suit-It-consists-of-a-turquoise-skirt-with-detailed-golden-embroidery-a-multicolored-blouse-with-floral-patterns-and-an-orange-dupatta-with-lace-borders.jpg,anarkali sui turquoise golden embroidery  floral patterns , turquoise golden embroidery
women_fashion/high-waisted-white-trousers-paired-with-a-structured-corset-style-bodice-featuring-mesh.jpg,formal  highwaisted white trousers corset style bodice mesh,formal highwaisted white trousers corset style
women_fashion/short-blue-floral-dress-with-long-puffed-sleeves.jpg,summer short blue floral dress long puffed sleeves,summer short blue floral dress long
women_fashion/light-green-short-dress-with-lace-detailing-around-the-waist-and-the-edges-of-the-sleeves-and-hem.jpg,cottagecore minimalistic  light green short dress lace ,cottagecore minimalistic light green short
women_fashion/black-and-white-gingham-checkered-A-line-dress-with-a-flared-skirt.jpg, black white gingham checkered  dress flared ,black white gingham checkered
women_fashion/long-elegant-teal-dress-with-a-high-slit-on-one-side.jpg,fancy elegant long elegant teal dress high slit one side,fancy elegant long elegant teal dress high slit
women_fashion/black-top-with-spaghetti-straps-and-a-black-skirt-adorned-with-a-fringe-detail-at-the-hem.jpg,party disco black top spaghetti straps black skirt fringe,party disco black top spaghetti straps black
women_fashion/green-dress-with-a-floral-pattern-paired-with-matching-green-trousers.jpg,ethnic green dress floral pattern paired matching green trousers,ethnic green dress floral pattern paired matching
women_fashion/anarkali-suit-with-a-long-olive-green-kurta-adorned-with-intricate-embroidery-around-the-neckline-and-cuffs-paired-with-matching-fitted-trousers.jpg,anarkali suit long olive green kurta  intriate,anarkali suit long olive green
women_fashion/fitted-black-dress-that-reaches-down-to-mid-calf.jpg, fitted black dress reaches midcalf,fitted black dress
women_fashion/bright-red-sequined-dress-with-thin-shoulder-straps.jpg,party disco bright red sequined dress ,party disco bright red
women_fashion/pink-knee-length-dress-that-sparkles.jpg,elegant party pink kneelength dress sparkles,elegant party pink kneelength
women_fashion/deep-burgundy-silky-dress-with-long-sleeves-and-a-wrap-style-front.jpg,elegant deep burgundy silky dress long sleeves wrapstyle ,elegant deep burgundy silky dress long
women_fashion/form-fitting-dress-with-a-vibrant-pattern-of-yellow-blue-and-black.jpg, formfitting dress vibrant pattern yellow blue black,formfitting dress vibrant pattern yellow
women_fashion/light-blue-sequined-dress-with-a-V-neckline-long-sleeves.jpg,party light blue sequined dress vneckline long sleeves,party light blue sequined dress vneckline
women_fashion/chic-and-elegant-outfit-consisting-of-a-pair-of-high-waisted-wide-leg-trousers-paired-with-a-long-sleeve-sheer-lace-top.jpg,chic elegant highwaisted wideleg trousers longsleeve sheer lace top,chic elegant highwaisted wideleg trousers longsleeve sheer
women_fashion/fluffy-possibly-faux-fur-or-eyelash-knit-sweater-with-a-cropped-cut-top.jpg, fluffy  faux fur e knit sweater cropped cut top,fluffy faux fur e knit sweater cropped
women_fashion/metallic-looking-jacket-with-intricate-designs-and-fringes-hanging-from-the-sleeves.jpeg,sparkly shimmer metallic jacket intricate fringes hanging sleeves,sparkly shimmer metallic jacket intricate fringes
women_fashion/black-dress-with-lace-detailing.jpg,elegant black dress lace detailing,elegant black dress
women_fashion/fitted-cream-colored-dress-with-long-sheer-sleeves.jpg, fitted creamcolored dress long sheer sleeves,fitted creamcolored dress long
women_fashion/one-shoulder-black-sequined-dress-with-fringe-detailing-at-the-hem.jpg,sparkly party oneshoulder black sequined dress fringe ,sparkly party oneshoulder black sequined
women_fashion/sparkling-fitted-dress-with-long-sleeves.jpg,party sparkling fitted dress long sleeves,party sparkling fitted dress
women_fashion/anarkali-suit-with-lavender-in-color-with-intricate-white-patterns-throughout-the-fabric.jpg,anarkali suit lavender color intricate white patterns ,anarkali suit lavender color intricate
women_fashion/black-floral-saree.jpg, black floral saree,black
women_fashion/sparkling-fitted-dress.jpg,party sparkling fitted dress,party sparkling
women_fashion/black-double-breasted-blazer-with-gold-buttons-paired-with-a-mid-length-skirt.jpg,business formal black doublebreasted blazer gold buttons midlength skirt,business formal black doublebreasted blazer gold buttons
women_fashion/solid-dark-blue-top-and-a-floral-pattern-on-the-bottom.jpg, solid dark blue top floral pattern bottom,solid dark blue top floral
women_fashion/white-intricately-detailed-top-and-a-flowing-dark-blue-skirt.jpg,elegant ballgown white intricately detailed top flowing dark blue skirt,elegant ballgown white intricately detailed top flowing dark
women_fashion/elegant-gold-off-the-shoulders-embroidery-dress.jpg,elegant gold off the shoulders embroidery dress,elegant gold off the shoulders
women_fashion/fitted-ruched-dress-with-a-sweetheart-neckline-and-long-mesh-sleeves.jpg, fitted ruched dress sweetheart neckline long mesh sleeves,fitted ruched dress sweetheart neckline long
women_fashion/long-flowing-dress-with-a-full-skirt.jpg,ethnic anarkali long flowing dress full skirt,ethnic anarkali long flowing dress
women_fashion/sparkling-white-dress-with-long-sleeves.jpg,party shimmer sparkling white dress long sleeves,party shimmer sparkling white dress
women_fashion/classic-black-slip-dress-with-a-midi-length.jpg,classic black slip dress midi length,classic black slip dress
women_fashion/one-shoulder-fitted-dress-that-features-sequin-embellishments-and-sheer-panels.jpg,party one shoulder fitted dress  sequin ,party one shoulder fitted
women_fashion/shiny-silver-wrap-style-dress-with-long-sleeves.jpg, shiny silver wrapstyle dress long sleeves,shiny silver wrapstyle dress
women_fashion/short-white-sleeveless-dress-with-thin-straps.jpg,party short white sleeveless dress thin straps,party short white sleeveless dress
women_fashion/Anarkali-suit-with-a-modern-twist.jpg, anarkali suit modern twist,anarkali suit
women_fashion/flowing-green-off-shoulder-dress.jpg,minimalistic flowing green offshoulder dress,minimalistic flowing green
women_fashion/shiny-purple-sequined-dress-with-a-one-shoulder-design.jpg,party  shiny purple sequined dress one shoulder ,party shiny purple sequined dress
women_fashion/bright-red-kurta-with-an-intricate-patterned-design.jpg,ethnic bright red kurta intricate ,ethnic bright red
women_fashion/black-sequined-dress-with-thin-shoulder-straps.jpg,party sparkly black sequined dress thin shoulder straps,party sparkly black sequined dress thin
women_fashion/strapless-sequined-dress-that-sparkles-with-multiple-colors.jpg,party disco strapless sequined dress sparkles multiple colors,party disco strapless sequined dress sparkles
women_fashion/long-intricately-designed-dress-with-full-sleeves.jpg,ethnic long intricately designed dress full sleeves,ethnic long intricately designed dress
women_fashion/beige-top-adorned-with-black-dots-and-a-skirt.jpg, beige top adorned black dots skirt,beige top adorned black dots
women_fashion/long-elegant-blue-dress-with-an-off-the-shoulder-design-with-sheer-sleeves.jpg, long elegant blue dress off the shoulder design sheer s,long elegant blue dress off the shoulder design
women_fashion/cream-colored-long-open-front-coat-with-wide-lapels.jpg,formal neutral creamcolored long openfront coat ,formal neutral creamcolored long
women_fashion/red-dress-adorned-with-an-intricate-pattern.jpg,ethnic red dress intricate pattern,ethnic red dress intricate
women_fashion/black-lace-bustier-top-paired-with-high-waisted-black-trousers.jpg, black lace bustier top highwaisted black trousers,black lace bustier top highwaisted
women_fashion/red-velvet-sheath-midi-dress.jpg,elegant red velvet sheath midi dress,elegant red velvet sheath
women_fashion/burgundy-off-the-shoulder-dress-with-an-asymmetrical-hemline.jpg, burgundy off the shoulder dress asymmetrical ,burgundy off the shoulder
women_fashion/Anarkali-suit-with-fitted-bodice-with-a-high-neckline.jpg,anarkali fitted bodice high neckline,anarkali fitted bodice
women_fashion/blue-white-floral-summer-dress.jpg,blue floral white flowers summer dress,blue floral white flowers
women_fashion/sparkling-black-dress.jpg,party shiny sparkling black dress,party shiny sparkling
women_fashion/black-off-shoulder-dress-with-belt.jpg,elegant black off shoulder dress belt,elegant black off shoulder
women_fashion/glamorous-two-piece-outfit-featuring-a-sequined-design.jpg,party shiny shimmering glamorous dress sequined design,party shiny shimmering glamorous dress
women_fashion/well-fitted-beige-suit.jpg,formal neutral beige suit,formal neutral
women_fashion/anarkali-suit-with-intricate-silver-embellishments-on-the-neckline-sleeves.jpg,ethnic anarkali suit intricate silver neckline sleeves,ethnic anarkali suit intricate silver
women_fashion/royal-blue-off-shoulder-dress.jpg,elegant royal blue off shoulder dress,elegant royal blue off
women_fashion/ark-green-knee-length-dress-with-short-sleeves-and-a-white-patterned-neckline.jpg,party ark green kneelength dress short sleeves white patterned neckline,party ark green kneelength dress short sleeves white
women_fashion/colorful-saree.jpg,ethnic colorful saree,ethnic
women_fashion/fitted-short-yellow-dress-with-short-sleeves.jpg, fitted short yellow dress short sleeves,fitted short yellow dress
women_fashion/white-dress-adorned-with-colorful-floral-patterns.jpg, white dress  colorful floral patterns,white dress colorful
women_fashion/long-flowing-pink-dress-with-a-sparkly-texture.jpg,elegant long flowing pink dress sparkly ,elegant long flowing pink
women_fashion/vibrant-blue-and-a-neutral-tone-adorned-with-colorful-floral-patterns.jpg,ethnic vibrant blue ,ethnic
women_fashion/sparkling-fitted-dress-2.jpg, sparkling fitted dress,sparkling
